,МЕТРО,Расстояние до центра
217,Хорошёвская,6.50257635472211
218,Царицыно,15.35428691516127
219,Цветной бульвар,1.6697838921859025
220,Цска,6.0711080143610685
221,Черкизовская,9.734543475757507
222,Чертановская,12.938607131878967
223,Чеховская,1.058467523560935
224,Чистые пруды,1.729104657693512
225,Чкаловская,2.8142717989582464
226,Шаболовская,4.268540561216245
227,Шелепиха,5.5960209657805144
228,Шипиловская,17.04248272018619
229,Шоссе энтузиастов,8.59440360723437
230,Щёлковская,12.933680561166298
231,Щукинская,11.102684338517314
232,Электрозаводская,6.341113408467566
233,Юго-западная,13.362403689985092
234,Южная,15.086634256813287
235,Ясенево,17.563990173195062
